Latitude	Longitude	depth.Maximum.Or.Single.Reported	Maximum Temperature	Full Spreading Rate (mm/a)	Node ID
-17	-113.117	2680	-999	146.1	754
-18.17	-113.344	2700	305	147	755
-18.25	-113.35	2680	310	147	756
-18.4333	-113.3833	2650	382	147	757
-18.555	-113.416	2647	55	147.2	758
-2.22	-102.655	2900	-999	129.2	759
-2.084	-102.827	3000	-999	129.2	760
-20.1	-113.708	3000	-999	148.1	761
-20.0333	-113.6843	3000	-999	148.1	762
-21.367	-114.257	2900	-999	148.7	763
-21.4333	-114.2917	2850	354	148.7	764
-21.634	-114.301	2730	-999	149	765
-21.9	-114.5	2800	-999	149	766
20.8333	-109.0833	2600	355	61.8	767
-22.5	-114.367	2600	-999	123.3	768
-23.5333	-115.5667	2600	297	109	769
-23.8233	-115.4558	2650	-999	102.6	770
-26.205	-112.6133	2600	-999	100.5	771
-26.4833	-112.625	2064	-999	106.2	772
-27.7	-112.917	2105	-999	150.8	773
-27.867	-112.912	2180	-999	150.8	774
-28.017	-112.904	2130	-999	150.8	775
-28.3	-112.983	2220	-999	150.9	776
-28.417	-112.964	2350	-999	150.9	777
-28.7	-112.988	2350	-999	150.9	778
-29.5	-111.72	2580	-999	151	779
-29.8	-111.73	2580	-999	151.1	780
3.917	-102.233	2875	-999	121.4	781
-30.133	-111.764	2480	-999	151.1	782
-30.375	-111.764	2320	-999	151.1	783
-30.75	-111.877	2360	-999	151.2	784
-31.433	-111.967	2350	-999	151.2	785
-37.6667	-110.8667	2240	-999	93.9	786
-37.8	-110.9167	2200	326	93.6	787
-5	-106.4	2650	-999	133.3	788
-7.4167	-107.8	2750	340	136.6	789
-7	-107.55	2600	-999	136.2	790
8.6333	-104.2	2550	-999	105.2	791
8.9	-104.2	2580	-999	105.2	792
9.28	-104.2166	2585	388	102.6	793
9.5167	-104.2414	2580	263	102.6	794
9.5583	-104.25	2574	-999	102.6	795
9.65	-104.26	2572	-999	102.6	796
9.775	-104.2802	2560	403	102.6	797
9.83	-104.29	2520	386	102.6	798
18.25	-106.3	2600	-999	77.7	799
17	-105.38	2750	-999	77.4	800
17.67	-105.005	2800	-999	74.6	801
-20.8333	-114.1667	3000	-999	148.5	802
-20.3333	-113.6792	3050	-999	148.3	803
13	-103.5	1100	-999	91.1	804
15.5	-105.4	2300	-999	82.1	805
16.58	-105.3	2700	-999	77.4	806
22.9333	-108.0667	3200	-999	47.8	807
14.9667	145.25	323	78	-999	808
38.55	-28.6	50	35	-999	1204
-56.0917	-30.325	2641	352	66.2	809
-57.5	-30.2	3000	-999	70.3	810
-60.05	-29.93	2402	380	79.1	811
48.1993	-128.9257	2500	-999	56.2	812
18.35	-81.85	2400	-999	16.9	813
-22	170.75	1600	-999	-999	814
37.2667	-32.2833	1775	-999	20.2	815
50.1	-129.75	3200	-999	56.3	817
-16.1667	177.4167	2335	-999	68.8	818
1.941	-91.31	1555	-999	55.3	819
65.85	-18.1333	65	77	18.3	820
10.9267	-103.6767	2520	347	99.4	821
46.3133	-129.705	2290	22	56.1	822
46.525	-129.5783	2390	51	56.1	823
13.4	143.9166	1470	210	-999	824
-9.9083	151.83	2366	-999	23.9	825
-16.4917	-174.5417	2419	-999	79.7	826
-17.5352	-174.5668	1550	254	56.5	1276
-17.025	-174.5017	1650	-999	68.5	827
-16.6667	-174.5167	1820	-999	75.4	828
21.93	143.47	1100	-999	-999	829
24.8674	123.3081	1270	291	49	1323
85.0167	7.45	3600	-999	12.3	830
85.65	84.8333	3900	-999	10.1	831
83.85	-2	3900	-999	12.7	832
84.4333	2.1333	4300	-999	12.5	833
86.35	37	3600	-999	11.3	834
86.5333	43	3000	-999	11.2	835
86.9833	55.5	3800	-999	10.9	836
86.5333	69	3500	-999	10.6	837
1.45	-86.1665	2700	-999	63	838
0.75	-85.8333	2600	-999	63	839
2.497	-93.77	2220	-999	50.9	840
2.53	-94.33	2400	-999	50.9	841
2.6	-94.775	2690	-999	49.7	842
2.5	-95.1667	2600	-999	49.7	843
2.67	-95.45	3200	-999	49.7	844
-27.2	-177.41	250	-999	-999	845
-39.44	78.092	2270	-999	65	1121
-42.477	82.71	2500	-999	67.4	1116
-42.5375	82.8266	2600	-999	67.4	1229
-42.66	83.0366	2600	-999	67.4	1230
-41.0125	86.0608	2800	-999	67.7	1231
-41.0716	86.155	2700	-999	67.7	1232
-41.223	86.3892	2500	-999	68	1233
-41.5883	87.2615	2500	-999	68.2	1234
-41.6498	87.3481	2500	-999	68.2	1235
-41.7133	87.4375	2500	-999	68.2	1236
-41.8333	87.6266	2400	-999	68.4	1237
-41.252	79.103	2800	-999	65.9	1120
-41.9508	87.8008	2400	-999	68.4	1238
-42.005	87.8808	2400	-999	68.4	1239
-42.113	88.042	2400	-999	68.5	1115
-42.0272	89.2205	2400	-999	68.8	1240
-43.0369	91.0357	2400	-999	69.3	1241
-43.3115	92.1335	2700	-999	69.6	1242
-43.6901	92.8451	2500	-999	69.9	1243
-43.9805	93.4571	2700	-999	70	1244
-44.7237	94.6039	2700	-999	70.3	1245
-44.9054	94.9673	2700	-999	70.5	1246
-41.772	79.753	2800	-999	66.3	1119
-46.624	96.0594	2500	-999	70.8	1247
-46.8956	96.5709	2600	-999	70.9	1248
-47.1196	96.8947	2600	-999	70.9	1249
-47.2383	97.1566	2700	-999	71.1	1250
-47.4145	97.4373	2700	-999	71.1	1251
-47.6179	97.8678	2600	-999	71.2	1252
-47.7009	98.0631	2700	-999	71.2	1253
-47.7483	98.1756	2800	-999	71.3	1254
-48.0048	98.8232	2800	-999	71.4	1255
-41.2025	81.0625	2800	-999	66.7	1225
-41.242	81.158	2860	-999	66.7	1118
-41.66	81.6617	2600	-999	66.7	1226
-41.802	81.838	2540	-999	67.1	1117
-41.8833	81.9816	2800	-999	67.1	1227
-41.9633	82.06	2700	-999	67.4	1228
-20.983	170.283	100	-999	-999	846
-30.0333	-178.7167	180	203	-999	847
41.5167	-127.45	3350	-999	55.5	848
42.679	-126.782	3150	-999	55.7	849
42.55	-126.8333	3400	-999	55.7	850
42.95	-126.55	3365	-999	55.7	851
20.8033	-109.2833	2000	-999	63	852
66.6067	-17.6542	400	251	18.1	853
-10.4667	164.25	600	-999	-999	854
27.305	-111.5067	2000	-999	45.8	855
27.411	-111.3879	1800	331	45.8	1312
27.0148	-111.4109	2000	359	46.1	856
16.957	144.868	3294	339	37.7	1313
-32.606	-179.609	1165	-999	-999	857
-31.097	-179.034	1505	-999	-999	858
15	-157.5	5000	-999	-999	859
-34.984	178.999	1370	34	-999	860
2.25	-101.5	5100	-999	39.5	861
26.555	126.2233	1485	56	34.6	1325
28.4393	128.1724	1220	319	24.2	1322
47.9666	-129.0894	2200	343	56.2	862
-22.53	-176.697	1900	40	41.4	863
-26.39	-177.26	300	-999	-999	864
-28.59	-177.82	300	-999	-999	865
-62.194	-57.2745	1080	-999	10	866
43.976	145.736	1	-999	-999	867
2.1	-91.935	1640	-999	54.2	868
25.23	124.88	1850	150	43.5	926
66.05	-22.65	3	95	-999	1216
40.7306	13.95	10	-999	-999	603
27.2667	127.0833	1610	326	30.1	870
9.1175	-84.8397	1790	5	-999	871
-37.94	49.26	1500	-999	12.1	606
52.98	-169.72	5	37	-999	872
31.6583	130.8	200	200	-999	873
26.7	141.0833	930	-999	-999	874
-25.3195	70.04	2460	360	49.1	875
-8.75	157.03	650	-999	-999	876
21.765	143.71	600	-999	-999	877
21.6	143.6167	500	39	-999	878
21.3833	143.6	1140	10	-999	879
-8.9833	157.9667	500	-999	-999	880
4.8133	125.0816	1890	-999	-999	881
24.7233	36.2767	1590	-999	11.8	882
-59.7	-28.3166	1420	40	-999	611
-34.575	179.255	1106	-999	-999	884
12.2833	-61.6667	265	250	-999	885
-20.0532	-176.1336	2620	333	84.7	886
74.8	8.4417	3185	-999	14.8	888
76.7833	8	3500	-999	14.4	889
77.63	7.58	3000	-999	14.1	890
29.2166	129.3333	10	80	-999	605
67.0833	-18.7167	110	131	17.9	891
68.7581	-16	1200	-999	17.5	892
36.525	25.4833	500	224	-999	696
-7.98	123.8	1000	-999	-999	893
36.85	27.25	10	-999	-999	894
36.6667	27.25	450	-999	-999	895
-6.102	105.423	250	-999	-999	601
16.64	-46.475	3900	-999	25.2	896
47.5167	152.8	60	-999	-999	897
24.8333	121.95	30	116	55.3	898
24.8333	122	1200	-999	53.1	899
-33.156	-179.956	630	-999	-999	900
-14.92	-177.25	1478	343	-999	630
33.4	139.68	760	-999	-999	901
-16.83	168.53	484	-999	-999	902
-37.5	51	2300	-999	11.8	1293
1.8	125.2	3	90	-999	1155
11.5	124.7	-999	-999	-999	903
-9.55	-13.18	1500	-999	33.2	904
-62.75	-59.25	1500	-999	10	905
-15.333	-176.283	1500	-999	108.6	959
14.752	-44.9785	3050	370	25.5	960
14.72	-44.938	2760	320	25.5	961
14.7083	-44.9667	3100	-999	25.5	962
14.7063	-44.9083	2000	-999	25.5	963
14.75	-44.97	3100	-999	25.5	964
18.95	-155.25	4800	200	-999	965
73.55	8.15	2400	320	15.1	966
-37.7838	49.6494	2785	379	12.1	1160
30.125	-42.1183	800	90	22.6	967
81.361	-3.44	4000	-999	13.5	968
37.2933	-32.2733	1740	333	20.2	969
37.05	-32.42	2600	-999	20.2	970
-3.1167	152.65	30	96	-999	971
