Latitude	Longitude	depth.Maximum.Or.Single.Reported	Maximum Temperature	Full Spreading Rate (mm/a)	Node ID
-27.917	64.45	4000	-999	9.4	1177
-27.767	65.133	3200	-999	9.4	1178
-37.608	50.8527	2800	-999	11.8	1179
-15.3833	-174.25	1400	-999	109.8	1269
26.1367	-44.8267	3670	369	23.6	1181
-21.92	-176.533	1870	-999	53.2	1182
-15.33	-174.25	1940	-999	109.8	1183
-13.59	-14.52	3100	-999	33.7	613
24.3483	124.1017	23	52	-999	1184
-36.325	178.0333	890	-999	-999	1185
25.0667	122.5667	1206	-999	50.9	1326
25.0916	124.5416	1990	23	45	1213
-17.567	-148.8167	1460	30	-999	1186
-22.1667	-176.604	1760	-999	49.6	1187
-17.5667	169.1	1400	-999	50	1188
0.7683	-85.91	2560	-999	63	1265
15.7333	-105.4333	2300	-999	80	1189
10.3333	-103.5533	2925	-999	99.4	1190
-62.642	-58.9833	1040	-999	10	1191
-27.967	63.55	3600	13	9.7	1176
-21.15	-175.75	210	152	-999	1192
-23.575	-176.705	985	-999	-999	929
-23.9	-176.78	1400	-999	-999	930
-24.1883	-176.8217	1400	-999	-999	931
-24.585	-176.917	1465	260	-999	932
-24.8	-177.0167	970	265	-999	933
-22.067	-176.208	200	-999	-999	934
-22.8433	-176.4317	240	-999	-999	935
-20.86	-175.55	700	-999	-999	936
-20.18	-175.2	1050	-999	-999	937
-19.45	-174.9167	760	-999	-999	938
-17.24	-173.95	560	-999	-999	939
12.7167	143.5333	2960	170	-999	941
-20.3169	-176.1367	2700	330	79.3	942
-14.5	177	3000	-999	22.2	943
-14.0745	175.4729	3000	-999	22.2	944
71.2833	-5.7667	550	270	16.4	945
-21.9876	-176.5678	1870	312	53.2	946
-4.0833	153.55	10	98	-999	947
0.77	-88.3	2100	-999	59.3	1267
-22.2151	-176.6083	1764	342	49.6	948
-14.2167	-169.0667	1000	85	-999	949
36.5608	25.525	320	-999	-999	1205
10.85	-41.8	3600	-999	27	950
-22.8833	-176.75	2050	-999	36.7	951
-21.73	-176.453	1910	-999	56.7	952
-22.4	-176.679	1980	-999	45	953
-22.34	-176.659	1700	-999	45	954
-22.515	-176.65	1970	-999	41.4	955
-3.1667	150.2833	2500	302	26.6	956
-3.3712	150.036	2240	-999	52.6	957
-5.4	68.5833	3500	-999	36	958
18.3777	-81.7972	2372	215	16.9	631
38.4	15	8	-999	-999	907
-30.687	-178.453	130	-999	-999	908
1.9707	-91.39	1600	-999	55.3	909
1	-90.6	1600	-999	56.7	910
22.508	142.533	2150	-999	-999	911
31.0666	-114.0833	120	-999	44.7	912
17.8333	-81.8333	4000	-999	16.9	913
-17	176	3000	-999	50.9	914
-15.095	-173.75	1208	-999	-999	915
14.325	144.833	1150	-999	-999	916
48.4833	-129.0417	3000	-999	56.3	917
-3	147	1800	-999	117.5	918
-37.86	176.98	42	86	9.2	919
-21.9612	-176.5234	1960	-999	53.2	920
-37.5191	177.1953	30	-999	9.2	1297
-16.9833	173.9167	2000	291	55.5	921
33.7	-118.3167	10	28	-999	922
-9.8	155.0667	3300	-999	34.8	923
-9.254	156.191	3550	-999	39.2	924
-31.85	-179.188	1165	28	-999	925
36.66	27.13	3	-999	-999	1296
25.2638	124.3733	2190	364	43.5	1321
27.4916	127.5333	590	247	30.1	1210
16.88	145.85	144	-999	-999	927
20.1292	-45.6225	2390	-999	24.7	928
-13.28	-14.41	2315	-999	33.7	612
