Ocean basin and water mass (along density surfaces; see text),calendar age bin (years BP),binned mean (all samples),binned standard deviation (all samples),n (all samples),binned mean (no outliers),binned standard deviation (no outliers),n (no outliers),loess_fit,loess_upr95,loess_lwr95,loess_upr68,loess_lwr68,loess_se
PACIFIC MID,5250,-132.6772047,46.35317264,4,-132.6772047,46.35317264,4,-158.6582935,-124.7521356,-188.2260523,-150.9348351,-167.6851295,23.17658632
PACIFIC MID,5750,NA,NA,0,NA,NA,0,-153.0510936,-119.1415659,-183.9506348,-144.5981998,-161.6387342,NA
PACIFIC MID,6250,-128.229485,18.15494306,2,-128.229485,18.15494306,2,-145.6063725,-110.2781022,-178.1559215,-137.7522836,-154.4689568,12.83748335
PACIFIC MID,6750,NA,NA,0,NA,NA,0,-140.0769453,-108.4069905,-170.3100342,-131.6666049,-149.1677087,NA
PACIFIC MID,7250,-117.7651343,31.69125493,2,-117.7651343,31.69125493,2,-133.1922566,-100.3383549,-164.3091826,-124.6908738,-140.3336754,22.40910127
PACIFIC MID,7750,-201.1945168,43.87366127,2,-201.1945168,43.87366127,2,-123.527025,-91.43712729,-160.9218779,-115.5052098,-132.3113871,31.0233634
PACIFIC MID,8250,-84.75028692,102.0139793,5,-84.75028692,102.0139793,5,-117.6989657,-83.72257212,-152.2814929,-109.2716584,-126.2959213,45.62203847
PACIFIC MID,8750,-166.1414148,29.34217229,2,-166.1414148,29.34217229,2,-111.5575138,-78.70909091,-142.4747239,-103.2644865,-119.3152261,20.748049
PACIFIC MID,9250,-135.6869678,25.07042366,4,-135.6869678,25.07042366,4,-104.1157428,-73.42158932,-132.6701533,-95.99329153,-110.4368098,12.53521183
PACIFIC MID,9750,-104.9212967,51.39014942,9,-104.9212967,51.39014942,9,-95.11553229,-65.97368985,-117.9623916,-88.71434773,-101.7920939,17.13004981
PACIFIC MID,10250,-89.0762098,47.02530288,13,-89.0762098,47.02530288,13,-87.07716316,-59.22462248,-108.4103908,-79.94156723,-93.67016025,13.04247237
PACIFIC MID,10750,-67.06016908,64.12864157,16,-67.06016908,64.12864157,16,-80.01373481,-52.88660386,-100.394035,-73.84036105,-86.30148762,16.03216039
PACIFIC MID,11250,-77.52313794,45.83950493,16,-77.52313794,45.83950493,16,-74.95005316,-51.68944233,-94.62639333,-68.47951347,-80.9727931,11.45987623
PACIFIC MID,11750,-72.22597299,55.99862719,19,-72.22597299,55.99862719,19,-70.47410639,-48.05597829,-92.74702516,-64.45946058,-76.40074509,12.84696615
PACIFIC MID,12250,-57.39015196,77.73308805,13,-57.39015196,77.73308805,13,-63.19329949,-33.89201415,-87.74463901,-56.56390181,-69.47587644,21.5592796
PACIFIC MID,12750,-58.36618975,64.9114885,13,-58.36618975,64.9114885,13,-57.44678777,-31.36529186,-84.20559533,-50.36783107,-65.18046274,18.0032077
PACIFIC MID,13250,-62.38723581,44.0727947,13,-62.38723581,44.0727947,13,-51.18152395,-27.51191678,-77.86495197,-44.04885737,-58.68564828,12.22359393
PACIFIC MID,13750,-46.65760203,48.48217209,20,-46.65760203,48.48217209,20,-40.74622765,-18.01131085,-71.0630945,-32.96728693,-48.8207458,10.84094325
PACIFIC MID,14250,-36.26305939,46.37207583,27,-36.26305939,46.37207583,27,-24.28186609,-4.127442167,-50.02206117,-17.81740347,-30.64639432,8.924310154
PACIFIC MID,14750,28.06278816,41.83035904,14,28.06278816,41.83035904,14,-3.131461116,25.01646591,-26.32336791,3.13731414,-9.572507387,11.17963371
PACIFIC MID,15250,37.22866813,46.29823173,11,37.22866813,46.29823173,11,15.98790444,49.20510893,-8.952724767,24.24660809,8.372768179,13.9594421
PACIFIC MID,15750,16.16841582,80.04800643,10,16.16841582,80.04800643,10,30.57837163,66.78139849,2.673358033,39.50843763,23.05624902,25.31340225
PACIFIC MID,16250,70.07696296,49.49933638,8,70.07696296,49.49933638,8,39.9573177,73.20939031,14.08435447,48.93317124,32.30428715,17.50065821
PACIFIC MID,16750,21.97302686,52.90288884,16,21.97302686,52.90288884,16,46.62699217,77.51590969,19.35957466,55.50487625,38.75284149,13.22572221
PACIFIC MID,17250,73.31939727,80.81174097,9,73.31939727,80.81174097,9,51.07923595,79.60307124,19.06723021,58.49405104,43.02852431,26.93724699
PACIFIC MID,17750,14.6357591,59.13126848,10,14.6357591,59.13126848,10,57.49921158,84.85252569,24.16134144,65.48817632,48.70445283,18.69894893
PACIFIC MID,18250,51.14810052,27.48570542,6,51.14810052,27.48570542,6,64.97002909,89.10167789,37.23588569,70.98669185,58.14052586,11.22099225
PACIFIC MID,18750,112.0049623,40.1083864,9,112.0049623,40.1083864,9,73.10470749,101.5568179,48.09316632,79.57044622,65.80273656,13.36946213
PACIFIC MID,19250,78.87914847,63.16501468,16,78.87914847,63.16501468,16,76.77454735,107.1034786,52.58945805,84.1218067,70.03006019,15.79125367
PACIFIC MID,19750,71.70205156,48.21781893,11,71.70205156,48.21781893,11,79.77999698,102.8204494,54.06726115,85.95599437,72.665799,14.53821942
PACIFIC MID,20250,55.65220778,43.26274444,11,55.65220778,43.26274444,11,84.35696878,108.6616921,51.59681808,91.6482765,76.76199121,13.04420825
PACIFIC MID,20750,126.514533,31.66925865,2,126.514533,31.66925865,2,90.58016584,117.5970245,54.40181413,98.8988401,82.42952816,22.39354755
PACIFIC MID,21250,70.14421424,48.80980675,5,70.14421424,48.80980675,5,99.44226076,127.1772508,62.53739038,107.9629861,90.5997705,21.82840917
PACIFIC MID,21750,80.52561001,26.85849399,4,80.52561001,26.85849399,4,107.9331437,137.8600506,71.00463722,116.2811622,98.90198968,13.42924699
PACIFIC MID,22250,112.5378705,98.61787491,6,112.5378705,98.61787491,6,119.1297788,149.8419401,79.92043324,127.6235589,108.4577184,40.26057884
PACIFIC MID,22750,120.5022401,36.72240993,3,120.5022401,36.72240993,3,129.2421624,165.8382016,88.1384962,138.5221748,119.7030496,21.20169326
PACIFIC MID,23250,NA,NA,0,NA,NA,0,140.684595,182.9857081,99.24925958,152.226872,130.3175117,NA
PACIFIC MID,23750,NA,NA,0,NA,NA,0,152.7378761,203.1256494,109.7845724,165.2552609,140.3774387,NA
PACIFIC MID,24250,257.9794406,103.1860477,2,257.9794406,103.1860477,2,166.584348,216.342693,115.2221014,180.3316253,151.1590198,72.96355405
PACIFIC MID,24750,165.3910303,9.85250458,2,165.3910303,9.85250458,2,181.6210784,239.4590822,125.1941057,197.2119888,164.9030203,6.9667728
PACIFIC MID,25250,82.76671835,83.90479618,2,82.76671835,83.90479618,2,195.0675667,261.7719697,129.8517218,214.4371165,178.4376565,59.32965036
PACIFIC MID,25750,222.421608,215.9984427,5,222.421608,215.9984427,5,215.2786611,284.653461,137.6750203,237.303562,193.5186498,96.59744017
PACIFIC MID,26250,NA,NA,0,NA,NA,0,230.5349198,319.345318,139.3442615,256.6892103,204.9956242,NA
PACIFIC MID,26750,273.2876718,93.12390015,3,273.2876718,93.12390015,3,246.0686573,342.6768648,141.3846065,273.1186897,219.7095869,53.76510882
SOUTHERN BOTTOM,250,NA,NA,0,NA,NA,0,-168.8330366,-162.3268963,-218.6423711,-166.2305805,-188.7567704,NA
SOUTHERN BOTTOM,750,-168.1456087,1.358494538,2,-168.1456087,1.358494538,2,-168.6461947,-114.405983,-221.0342773,-149.6132822,-182.2907297,0.9606007
SOUTHERN BOTTOM,1250,-188.2972466,59.08340426,3,-188.2972466,59.08340426,3,-160.8535007,-111.9522698,-209.0548306,-147.8238779,-174.6525719,34.11181936
SOUTHERN BOTTOM,1750,-144.7539164,30.10677648,5,-144.7539164,30.10677648,5,-155.324442,-113.4633058,-198.9068332,-143.7412518,-165.8901797,13.46415976
SOUTHERN BOTTOM,2250,NA,NA,0,NA,NA,0,-148.5436519,-110.2897104,-186.2167976,-136.8938536,-159.0123919,NA
SOUTHERN BOTTOM,2750,-136.9918394,46.75962146,3,-136.9918394,46.75962146,3,-141.8256423,-105.2662455,-176.337322,-132.2381773,-151.1995914,26.99668004
SOUTHERN BOTTOM,3250,-100.286397,69.97564179,2,-100.286397,69.97564179,2,-136.2529183,-99.05469711,-169.8015837,-125.6357269,-143.9006146,49.48025083
SOUTHERN BOTTOM,3750,-128.4680748,106.5963318,2,-128.4680748,106.5963318,2,-129.346764,-93.64588042,-160.3332183,-119.522916,-139.3998488,75.37498908
SOUTHERN BOTTOM,4250,-129.0255058,63.95165528,2,-129.0255058,63.95165528,2,-123.0512399,-88.5031023,-151.7505531,-113.6480046,-131.2370358,45.22064912
SOUTHERN BOTTOM,4750,NA,NA,0,NA,NA,0,-117.1127946,-81.20300944,-150.3889281,-108.200825,-126.5731856,NA
SOUTHERN BOTTOM,5250,-84.27279438,0.342110536,2,-84.27279438,0.342110536,2,-111.000528,-75.20637383,-140.8997791,-101.028765,-120.1673281,0.24190868
SOUTHERN BOTTOM,5750,NA,NA,0,NA,NA,0,-104.7510519,-70.14820196,-139.0444472,-94.50899536,-113.1369762,NA
SOUTHERN BOTTOM,6250,-100.9136058,37.69925194,2,-100.9136058,37.69925194,2,-98.23707192,-63.49760973,-129.3901604,-89.5862674,-107.2199248,26.65739669
SOUTHERN BOTTOM,6750,-134.4103881,64.77189778,2,-134.4103881,64.77189778,2,-90.89774321,-56.79939195,-123.352769,-81.3862746,-100.6898177,45.80064815
SOUTHERN BOTTOM,7250,-59.77215818,49.0318673,4,-59.77215818,49.0318673,4,-83.53681296,-51.49690778,-119.8977674,-73.70813651,-92.22561368,24.51593365
SOUTHERN BOTTOM,7750,-59.33805996,77.2647466,3,-59.33805996,77.2647466,3,-76.9658299,-46.47447223,-114.2689897,-68.01371267,-85.95085331,44.60882225
SOUTHERN BOTTOM,8250,-80.26769421,55.81946672,3,-80.26769421,55.81946672,3,-70.86607015,-40.90223308,-103.0558057,-62.12271798,-79.06226827,32.22738414
SOUTHERN BOTTOM,8750,-83.09223398,42.14969341,4,-83.09223398,42.14969341,4,-63.2117069,-34.29968909,-102.358126,-53.23717646,-72.34996512,21.0748467
SOUTHERN BOTTOM,9250,-65.24889205,57.9432979,5,-65.24889205,57.9432979,5,-55.26654484,-24.49040722,-94.58467682,-46.36277042,-64.92051425,25.91303059
SOUTHERN BOTTOM,9750,NA,NA,0,NA,NA,0,-46.3401399,-18.25283151,-83.89452106,-36.41772667,-55.96285986,NA
SOUTHERN BOTTOM,10250,-28.28874842,43.35207737,6,-28.28874842,43.35207737,6,-37.07160872,-8.823058368,-78.6880704,-28.68437241,-46.43473224,17.69841148
SOUTHERN BOTTOM,10750,-88.26855918,60.28663081,4,-88.26855918,60.28663081,4,-27.36863322,-0.306935331,-64.90782,-18.91744313,-36.84952173,30.1433154
SOUTHERN BOTTOM,11250,-14.13236581,49.9306784,10,-14.13236581,49.9306784,10,-13.91435774,9.766289816,-50.81387673,-6.691484662,-23.59248108,15.78946689
SOUTHERN BOTTOM,11750,-28.50213112,21.41881592,9,-28.50213112,21.41881592,9,-1.384035546,25.03383135,-30.48439741,5.600236875,-9.096815101,7.139605306
SOUTHERN BOTTOM,12250,29.90943174,41.56048861,8,29.90943174,41.56048861,8,13.2313749,44.59643099,-11.46568161,20.97488495,6.495693846,14.69385166
SOUTHERN BOTTOM,12750,59.57295702,61.92393326,10,59.57295702,61.92393326,10,24.95754743,65.32529754,0.80571965,33.31391815,18.04264604,19.58206708
SOUTHERN BOTTOM,13250,21.36879657,43.32806899,11,21.36879657,43.32806899,11,34.36610851,66.5343979,8.818013633,41.43511673,26.87303852,13.06390434
SOUTHERN BOTTOM,13750,59.93431124,25.82117337,5,59.93431124,25.82117337,5,40.7248192,70.26609025,13.83087842,47.56338705,34.08538474,11.54757978
SOUTHERN BOTTOM,14250,58.64861708,42.04170206,12,58.64861708,42.04170206,12,46.38561133,73.41939762,21.25641136,54.0927482,39.52585641,12.136394
SOUTHERN BOTTOM,14750,33.48854069,51.13051441,17,33.48854069,51.13051441,17,51.36619999,77.55244058,25.68323166,58.61553175,45.3133117,12.40097127
SOUTHERN BOTTOM,15250,47.02279974,39.55374892,9,47.02279974,39.55374892,9,57.47162028,87.25581487,27.06863386,65.37426932,50.04547362,13.18458297
SOUTHERN BOTTOM,15750,69.27162597,58.44307228,5,69.27162597,58.44307228,5,63.79698312,106.355338,35.896638,73.06712624,56.07284432,26.13653649
SOUTHERN BOTTOM,16250,163.1087458,129.6147983,4,163.1087458,129.6147983,4,69.1701419,135.4953443,37.78965217,79.6134139,59.56362751,64.80739916
SOUTHERN BOTTOM,16750,80.9547092,112.8872578,3,80.9547092,112.8872578,3,70.75062166,135.9367927,35.29268125,80.9354173,61.42314608,65.17548865
SOUTHERN BOTTOM,17250,62.90535652,80.56550905,4,62.90535652,80.56550905,4,73.83988529,114.8780912,31.80089005,82.30556358,61.8225654,40.28275452
SOUTHERN BOTTOM,17750,35.60513363,107.0211723,5,35.60513363,107.0211723,5,74.13428034,111.3887523,29.26592749,83.51046105,62.99755,47.86132326
SOUTHERN BOTTOM,18250,65.57211246,69.52182328,9,65.57211246,69.52182328,9,75.97461275,109.739253,35.44043566,86.12312303,65.62463439,23.17394109
SOUTHERN BOTTOM,18750,119.6047415,34.20672868,6,119.6047415,34.20672868,6,78.73631512,114.0146663,36.15016447,89.7854747,67.61182103,13.96483851
SOUTHERN BOTTOM,19250,-17.89930563,167.7382696,3,-17.89930563,167.7382696,3,85.57636394,122.3005794,40.25694122,96.14910781,73.11359755,96.8437351
SOUTHERN BOTTOM,19750,108.094914,54.75638375,6,108.094914,54.75638375,6,92.322078,129.7201339,45.71018634,104.1623124,80.25739655,22.35420006
SOUTHERN BOTTOM,20250,126.1191098,50.46199749,4,126.1191098,50.46199749,4,99.7501485,139.7675809,52.45457514,111.1600752,86.80210655,25.23099875
SOUTHERN BOTTOM,20750,11.90852438,192.8682636,3,11.90852438,192.8682636,3,108.628346,152.9903699,62.23603138,119.5658168,95.51441262,111.3525439
SOUTHERN BOTTOM,21250,188.073959,33.83116079,3,188.073959,33.83116079,3,116.108873,162.4835224,70.80865425,128.3140668,104.9206734,19.53242979
SOUTHERN BOTTOM,21750,NA,NA,0,NA,NA,0,125.306988,170.8917555,78.12749637,137.0621981,113.0735816,NA
SOUTHERN BOTTOM,22250,150.0360079,51.00104087,2,150.0360079,51.00104087,2,133.790144,178.4331754,89.26507644,145.4965515,121.5279172,36.06318185
SOUTHERN BOTTOM,22750,113.0615366,64.03946885,5,113.0615366,64.03946885,5,144.0589215,192.7913245,92.60709254,157.7053466,131.8302372,28.63932112
SOUTHERN BOTTOM,23250,NA,NA,0,NA,NA,0,152.208154,206.6020565,101.5245548,166.7833051,139.4183038,NA
SOUTHERN BOTTOM,23750,NA,NA,0,NA,NA,0,162.5490881,219.4131845,110.9264658,178.9201466,149.1010765,NA
SOUTHERN BOTTOM,24250,144.8271215,48.9090149,2,144.8271215,48.9090149,2,174.0311271,233.3753055,117.0518874,190.7087133,159.2406295,34.5838961
SOUTHERN BOTTOM,24750,228.9844026,101.3471222,3,228.9844026,101.3471222,3,185.7267038,250.0256512,122.4135101,204.2613152,168.3902563,58.51278829
SOUTHERN BOTTOM,25250,179.6894922,158.1243266,3,179.6894922,158.1243266,3,196.9685547,268.9317748,117.9845245,216.84551,177.0231095,91.29312253
SOUTHERN BOTTOM,25750,192.423381,77.00765221,4,192.423381,77.00765221,4,207.6307401,299.0728296,116.5534153,233.4768789,185.3172649,38.50382611
SOUTHERN BOTTOM,26250,260.7979397,130.6711625,3,260.7979397,130.6711625,3,217.2542632,320.3376042,120.0088062,245.4548192,191.9326446,75.44303083
SOUTHERN BOTTOM,26750,NA,NA,0,NA,NA,0,231.0720083,351.9621449,97.25516417,263.5292025,197.7032798,NA
SOUTHERN MID,250,-157.3795482,15.25630354,4,-157.3795482,15.25630354,4,-165.0418081,-107.1587356,-221.9122786,-148.9377484,-179.939584,7.628151768
SOUTHERN MID,750,NA,NA,0,NA,NA,0,-160.2487771,-107.9063097,-212.6714841,-146.2642083,-174.7279838,NA
SOUTHERN MID,1250,NA,NA,0,NA,NA,0,-157.2341245,-108.9258561,-204.4908898,-144.0508158,-170.8735055,NA
SOUTHERN MID,1750,-166.3354086,32.65058796,3,-166.3354086,32.65058796,3,-151.5903085,-104.9958034,-197.9159902,-138.7786873,-164.5884697,18.85082575
SOUTHERN MID,2250,NA,NA,0,NA,NA,0,-144.3800697,-105.0454687,-189.6071563,-133.5892075,-156.3887245,NA
SOUTHERN MID,2750,NA,NA,0,NA,NA,0,-141.4624751,-98.42384145,-182.8068191,-130.5264526,-153.2258616,NA
SOUTHERN MID,3250,NA,NA,0,NA,NA,0,-133.4681592,-94.58116198,-175.0917054,-122.7271117,-146.2532713,NA
SOUTHERN MID,3750,NA,NA,0,NA,NA,0,-128.8041493,-86.44857611,-175.3386274,-117.2445226,-142.3540538,NA
SOUTHERN MID,4250,NA,NA,0,NA,NA,0,-123.7684498,-81.10327504,-170.9403225,-109.9492796,-136.8136942,NA
SOUTHERN MID,4750,NA,NA,0,NA,NA,0,-113.8745248,-70.7063252,-166.2384073,-101.2427362,-126.9223789,NA
SOUTHERN MID,5250,-92.54998991,29.29882663,2,-92.54998991,29.29882663,2,-107.7433922,-63.89019545,-164.4028401,-94.40841975,-120.7995758,20.71739899
SOUTHERN MID,5750,-92.73575916,11.74531523,2,-92.73575916,11.74531523,2,-100.7809499,-53.69350268,-157.427045,-86.02920909,-113.8123546,8.305192045
SOUTHERN MID,6250,NA,NA,0,NA,NA,0,-92.88350773,-45.09853797,-150.9933085,-78.94125304,-108.0920239,NA
SOUTHERN MID,6750,-51.15673492,47.64332093,2,-51.15673492,47.64332093,2,-84.54413127,-36.98451031,-145.6912304,-69.17868323,-98.7910397,33.68891531
SOUTHERN MID,7250,NA,NA,0,NA,NA,0,-76.47417778,-28.42578906,-138.4727083,-63.20860225,-90.31806244,NA
SOUTHERN MID,7750,NA,NA,0,NA,NA,0,-68.64760358,-23.09768854,-123.5450302,-56.28618308,-83.32127889,NA
SOUTHERN MID,8250,NA,NA,0,NA,NA,0,-59.96482054,-13.26634885,-117.0099548,-46.94559406,-74.89258186,NA
SOUTHERN MID,8750,NA,NA,0,NA,NA,0,-52.82606185,-4.68191536,-113.5432965,-39.51579402,-65.61782301,NA
SOUTHERN MID,9250,NA,NA,0,NA,NA,0,-42.38694949,-0.163873968,-91.44839048,-28.52582607,-56.21214045,NA
SOUTHERN MID,9750,NA,NA,0,NA,NA,0,-28.61965126,8.402810945,-81.18337101,-15.70317553,-42.36318119,NA
SOUTHERN MID,10250,-43.08182029,35.45429366,5,-43.08182029,35.45429366,5,-17.77060437,21.38019065,-61.9310933,-6.269835639,-29.22387681,15.85564214
SOUTHERN MID,10750,NA,NA,0,NA,NA,0,-1.511254845,29.06242781,-38.50374176,8.035617698,-11.38445433,NA
SOUTHERN MID,11250,-1.637443133,30.09014533,10,-1.637443133,30.09014533,10,15.76382483,41.01688169,-13.24816501,22.76650014,8.168445825,9.515339436
SOUTHERN MID,11750,40.13875845,18.2083906,10,40.13875845,18.2083906,10,34.67930686,58.86494774,13.22960756,42.10773593,29.04824297,5.757998681
SOUTHERN MID,12250,64.6411999,45.51185332,15,64.6411999,45.51185332,15,52.74568165,80.20286434,28.69506804,60.55448,45.69141851,11.75111
SOUTHERN MID,12750,58.05360938,65.11431635,7,58.05360938,65.11431635,7,63.44124372,91.02926822,38.29802929,70.69991372,56.17068115,24.61089826
SOUTHERN MID,13250,60.85587166,13.62774899,6,60.85587166,13.62774899,6,66.8732368,92.79210779,43.83603075,73.51643487,61.31045984,5.563505229
SOUTHERN MID,13750,80.19595646,43.44373676,15,80.19595646,43.44373676,15,72.4034213,95.11149228,47.98204507,77.67776867,65.422899,11.2171246
SOUTHERN MID,14250,69.34929278,16.13563597,19,69.34929278,16.13563597,19,80.52772164,98.80948055,55.6479963,86.06708401,74.36027033,3.701768768
SOUTHERN MID,14750,96.67108781,41.43465407,27,96.67108781,41.43465407,27,96.44339074,116.3521736,76.68867911,101.5917495,91.04129247,7.974102894
SOUTHERN MID,15250,118.786111,25.58005914,16,118.786111,25.58005914,16,110.0818945,132.9650049,89.75127335,116.0918447,104.5462434,6.395014786
SOUTHERN MID,15750,115.227607,41.85939876,13,115.227607,41.85939876,13,119.3987833,146.5794806,95.23337412,125.9820082,112.8024207,11.60970835
SOUTHERN MID,16250,128.5144551,51.45813374,11,128.5144551,51.45813374,11,124.1667954,154.1272344,101.1876396,132.0502764,117.299988,15.51521109
SOUTHERN MID,16750,133.541178,52.00016332,11,133.541178,52.00016332,11,125.0472744,155.3260175,99.34321823,132.8423923,118.3608883,15.67863916
SOUTHERN MID,17250,113.5831558,58.36040059,5,113.5831558,58.36040059,5,124.9101871,151.0121754,95.2946798,131.7198596,116.8484043,26.09956458
SOUTHERN MID,17750,112.571889,56.0043648,6,112.571889,56.0043648,6,125.0594442,153.1475882,91.02799406,132.6682493,116.2507271,22.86368619
SOUTHERN MID,18250,118.2420635,70.54365856,8,118.2420635,70.54365856,8,126.1864844,156.2080177,89.30876262,135.2667047,116.7409325,24.94094967
SOUTHERN MID,18750,80.69850472,28.98911722,3,80.69850472,28.98911722,3,130.4243075,163.5673107,88.55651947,139.9353357,119.9196751,16.73687463
SOUTHERN MID,19250,199.4878712,46.67573447,4,199.4878712,46.67573447,4,134.6299398,173.0784297,91.82482793,146.1996224,123.4755903,23.33786723
SOUTHERN MID,19750,NA,NA,0,NA,NA,0,140.5892758,182.2891635,91.28276357,153.5142591,127.5760132,NA
SOUTHERN MID,20250,83.18041848,175.6273315,4,83.18041848,175.6273315,4,146.6990713,193.7207247,95.72275543,160.7234756,132.4288158,87.81366574
SOUTHERN MID,20750,NA,NA,0,NA,NA,0,155.5815833,201.4890221,94.48649897,169.1783626,140.4177823,NA
SOUTHERN MID,21250,189.4703448,57.83926534,3,189.4703448,57.83926534,3,162.6620048,214.7733359,98.01545255,179.0731569,144.5180421,33.39351542
SOUTHERN MID,21750,170.0957083,49.4623138,2,170.0957083,49.4623138,2,168.5824227,227.5324543,97.28143739,188.5934398,149.6831005,34.9751375
SOUTHERN MID,22250,NA,NA,0,NA,NA,0,177.7747769,244.3178334,95.37746497,198.2555016,155.1340798,NA
SOUTHERN MID,22750,NA,NA,0,NA,NA,0,185.3792375,257.3862067,99.90749607,210.9227249,163.7570767,NA
SOUTHERN MID,23250,NA,NA,0,NA,NA,0,199.5007413,276.7910605,96.54350971,226.3799371,171.8148738,NA
SOUTHERN MID,23750,NA,NA,0,NA,NA,0,209.528823,300.9752599,83.82612312,241.4253455,174.5542832,NA
SOUTHERN MID,24250,NA,NA,0,NA,NA,0,222.1875945,329.2074877,83.61162006,258.1859716,183.4121117,NA
SOUTHERN MID,24750,NA,NA,0,NA,NA,0,231.7749222,356.3168534,69.25662774,277.0631852,189.5599566,NA
SOUTHERN MID,25250,362.8819932,71.45171212,3,362.8819932,71.45171212,3,240.0724714,388.6880329,43.26109945,295.3751705,191.1573708,41.25266523
SOUTHERN MID,25750,137.5689818,366.8921027,3,137.5689818,366.8921027,3,258.9915699,406.1280721,58.87117661,308.121877,204.718443,211.8252543
SOUTHERN MID,26250,NA,NA,0,NA,NA,0,284.0820819,288.3129043,279.8512596,285.7744109,282.389753,NA
SOUTHERN MID,26750,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
