Ocean basin and water mass (along density surfaces; see text),calendar age bin (years BP),binned mean (all samples),binned standard deviation (all samples),n (all samples),binned mean (no outliers),binned standard deviation (no outliers),n (no outliers),loess_fit,loess_upr95,loess_lwr95,loess_upr68,loess_lwr68,loess_se
ATLANTIC BOTTOM,19250,115.3358025,88.50323817,5,115.3358025,88.50323817,5,89.65468564,131.5405776,44.51831061,101.4103389,77.53578928,39.57985135
ATLANTIC BOTTOM,19750,111.1329955,79.59924824,15,111.1329955,79.59924824,15,104.0598954,145.7488224,63.85512925,115.6607444,93.4699822,20.55243752
ATLANTIC BOTTOM,20250,111.8580835,110.677657,7,111.8580835,110.677657,7,114.231223,154.1961705,66.9777035,126.6363757,102.3413566,41.83222232
ATLANTIC BOTTOM,20750,122.6454111,130.0500771,5,122.6454111,130.0500771,5,122.9452258,167.8430627,79.39549288,134.4678941,112.1035902,58.16016258
ATLANTIC BOTTOM,21250,131.7361338,66.70921997,5,131.7361338,66.70921997,5,130.8652349,171.6342901,84.09814721,142.1386564,117.6472325,29.83327012
ATLANTIC BOTTOM,21750,116.6884495,67.6069895,4,116.6884495,67.6069895,4,138.347535,188.2527684,96.45237658,149.3255362,126.1246643,33.80349475
ATLANTIC BOTTOM,22250,215.621795,62.88081649,3,215.621795,62.88081649,3,144.5391748,192.5713034,100.5385072,156.954015,131.0190324,36.30425633
ATLANTIC BOTTOM,22750,133.5466746,17.93874834,4,133.5466746,17.93874834,4,147.836872,193.2801379,96.25904406,161.241925,133.4027025,8.969374172
ATLANTIC BOTTOM,23250,113.950792,102.3465927,2,113.950792,102.3465927,2,147.9821823,202.4980374,99.01689214,162.8828688,134.781891,72.36996971
ATLANTIC BOTTOM,23750,204.158541,55.99656665,2,204.158541,55.99656665,2,149.9404991,211.9569131,91.36554321,165.9618072,131.2226489,39.595552
ATLANTIC BOTTOM,24250,86.84909202,18.97277645,2,86.84909202,18.97277645,2,150.9173261,232.5568651,79.65343203,172.817669,129.0769962,13.41577889
ATLANTIC BOTTOM,24750,113.4032075,38.45740132,3,113.4032075,38.45740132,3,154.5062926,276.9353335,59.46773683,188.6887529,121.9487212,22.203391
ATLANTIC BOTTOM,25250,221.0550957,268.8014686,3,221.0550957,268.8014686,3,170.5949322,381.6262672,32.65440833,217.1169072,126.9253399,155.1926003
ATLANTIC BOTTOM,25750,NA,NA,0,NA,NA,0,225.3586506,490.1719543,-0.253583605,274.3513454,164.0274361,NA
ATLANTIC BOTTOM,26250,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
ATLANTIC BOTTOM,26750,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
ATLANTIC MID,250,-108.5161819,27.02554058,6,-108.5161819,27.02554058,6,-110.740195,-73.88481792,-151.568388,-100.2797633,-120.3047525,11.03313074
ATLANTIC MID,750,-112.9048196,28.72990906,5,-112.9048196,28.72990906,5,-109.2731405,-78.68672063,-139.005394,-100.4100484,-117.7387811,12.84840593
ATLANTIC MID,1250,NA,NA,0,NA,NA,0,-107.3129525,-78.32849437,-138.1217777,-98.87005369,-114.6975671,NA
ATLANTIC MID,1750,NA,NA,0,NA,NA,0,-105.9523213,-74.4376673,-134.4122072,-97.19841154,-113.4606279,NA
ATLANTIC MID,2250,-101.180163,24.87208908,3,-101.180163,24.87208908,3,-102.8509914,-64.60667784,-135.1890678,-93.80037284,-110.6856594,14.35990733
ATLANTIC MID,2750,NA,NA,0,NA,NA,0,-100.5784788,-62.22890965,-135.3886941,-91.00899213,-109.0940409,NA
ATLANTIC MID,3250,-104.7982291,0.811504451,2,-104.7982291,0.811504451,2,-96.78205529,-53.1290713,-136.5443174,-86.93936875,-107.5001066,0.5738203
ATLANTIC MID,3750,NA,NA,0,NA,NA,0,-94.2886538,-46.94379702,-136.4812654,-82.64980553,-104.6696925,NA
ATLANTIC MID,4250,NA,NA,0,NA,NA,0,-89.83797894,-40.31820657,-137.7147563,-78.65907947,-102.7981549,NA
ATLANTIC MID,4750,NA,NA,0,NA,NA,0,-87.92505877,-33.86841418,-133.0326309,-75.57512951,-99.60555537,NA
ATLANTIC MID,5250,NA,NA,0,NA,NA,0,-85.11468168,-33.81418361,-130.5098406,-70.37976613,-96.39287448,NA
ATLANTIC MID,5750,NA,NA,0,NA,NA,0,-80.11995255,-29.10109134,-127.542977,-66.4086616,-93.76057305,NA
ATLANTIC MID,6250,-16.09775964,3.715815779,2,-16.09775964,3.715815779,2,-75.76024766,-26.04763178,-128.0292234,-62.62848072,-87.15333468,2.627478535
