year_kyrBP	geologic_carbon_rate_PgCyr	geologic_carbon_cumulative_PgC	alk_to_dic_ratio	terrestrial_carbon_uptake_rate_PgCyr	terrestrial_carbon_uptake_cumulative_PgC	terrestrial_carbon_release_rate_PgCyr	terrestrial_carbon_release_cumulative_PgC	atmospheric_CO2_ppm	atmospheric_∆14C_permil	deep_atlantic_CO3_umolkg	deep_indian_CO3_umolkg	deep_south_pacific_CO3_umolkg	deep_south_pacific_CO3_umolkg
13.5	0	0	0	0	0	0	0	223.35	185.454	142.075	98.2043	97.5016	95.0219
13.4	0	0	0	0	0	0	0	224.335	193.116	141.368	98.1977	97.2671	94.7237
13.3	0	0	0	0	0	0	0	225.294	189.993	140.648	98.1068	96.9841	94.3774
13.2	0	0	0	0	0	0	0	228.87	212.139	133.377	98.0671	96.5405	94.0384
13.1	0	0	0	0	0	0	0	231.149	219.045	127.678	98.1243	96.2486	93.8436
13.0	0	0	0	0	0	0	0	232.996	225.161	123.236	98.4181	96.2137	93.7996
12.9	0	0	0	0	0	0	0	234.488	231.679	119.771	98.8345	96.35	93.901
12.8	0	0	0	0	0	0	0	235.632	238.304	117.088	99.2823	96.5781	94.1204
12.7	0	0	0	0	0	0	0	236.663	240.671	114.986	99.76	96.8653	94.4249
12.6	0	0	0	0	0	0	0	237.794	239.952	113.334	100.282	97.2247	94.7945
12.5	0	0	0	0	0	0	0	238.976	239.775	112.072	100.83	97.6373	95.2157
12.4	0	0	0	0	0	0	0	240.19	239.751	111.114	101.383	98.0737	95.6014
12.3	0	0	0	0	0	0	0	241.429	238.346	110.392	101.914	98.4813	95.9937
12.2	0	0	0	0	0	0	0	242.693	235.905	109.853	102.4	98.8702	96.4109
12.1	0	0	0	0	0	0	0	243.982	235.084	109.457	102.852	99.2541	96.8361
12.0	0	0	0	0	0	0	0	245.298	235.302	109.173	103.294	99.6508	97.2628
11.9	0	0	0	0	0	0	0	246.639	236.553	108.98	103.736	100.057	97.6899
11.8	0	0	0	0	0	0	0	248.004	238.554	108.86	104.178	100.469	98.1155
11.7	0	0	0	0	0	0	0	249.394	248.472	108.802	104.612	100.885	98.5381
11.6	0	0	0	0	0	0	0	237.207	222.436	120.446	101.612	98.592	98.489
11.5	0	0	0	0	0	0	0	232.927	204.288	127.351	97.8318	96.2336	97.5344
11.4	0	0	0	0	0	0	0	232.21	179.753	131.267	95.5035	95.1283	96.284
11.3	0	0	0	0	0	0	0	232.813	168.291	133.5	94.6021	94.852	95.2003
11.2	0	0	0	0	0	0	0	233.846	164.16	134.716	94.4621	94.8959	94.4894
11.1	0	0	0	0	0	0	0	234.986	156.299	135.276	94.7148	95.047	93.9366
11.0	0	0	0	0	0	0	0	236.122	146.647	135.408	95.1314	95.1748	93.5021
10.9	0	0	0	0	0	0	0	237.229	141.175	135.263	95.4542	95.2191	93.1326
10.8	0	0	0	0	0	0	0	238.31	138.07	134.933	95.6383	95.1989	92.7918
10.7	0	0	0	0	0	0	0	239.371	133.979	134.483	95.786	95.1254	92.4606
10.6	0	0	0	0	0	0	0	240.41	129.44	133.954	95.8771	95.0085	92.1292
10.5	0	0	0	0	0	0	0	241.423	126.717	133.377	95.9014	94.8461	91.8498
